2025-09-16 17:27:17	WARN	sdsmooth::SingleDishMS::setSelection (file /source/casa6/casatools/src/code/singledish/SingleDish/SingleDishMS.cc, line 212)	No valid selection parameter is set.
2025-09-16 17:27:18	WARN	sdsmooth::MSTransformManager::checkDataColumnsToFill	FLOAT_DATA column requested but not available in input MS 
2025-09-16 17:27:18	SEVERE	sdsmooth::singledishms::smooth (file src/tools/singledishms/singledishms_cmpt.cc, line 463)	Exception Reported: Desired column (FLOAT_DATA) not found in the input MS (/scratch/scastro/casa/Tests/reports/tsdsmooth_test.ms).
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa	Traceback (most recent call last):
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	             ^^^^^^^^^^^^^^^^^^^^^
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	  File "/scratch/scastro/casa/Tests/reports/casa-6.7.2-15-py3.12.el8/lib/py/lib/python3.12/site-packages/casatasks/private/task_sdsmooth.py", line 37, in sdsmooth
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	    sdms.smooth(type=kernel, width=kwidth, datacolumn=datacolumn, outfile=outfile)
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	  File "/scratch/scastro/casa/Tests/reports/casa-6.7.2-15-py3.12.el8/lib/py/lib/python3.12/site-packages/casatools/singledishms.py", line 104, in smooth
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	    return self._swigobj.smooth(type, width, datacolumn, outfile)
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	  File "/scratch/scastro/casa/Tests/reports/casa-6.7.2-15-py3.12.el8/lib/py/lib/python3.12/site-packages/casatools/__casac__/singledishms.py", line 543, in smooth
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	    return _singledishms.singledishms_smooth(self, *args, **kwargs)
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	           ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa+	RuntimeError: Desired column (FLOAT_DATA) not found in the input MS (/scratch/scastro/casa/Tests/reports/tsdsmooth_test.ms).
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa	Desired column (FLOAT_DATA) not found in the input MS (/scratch/scastro/casa/Tests/reports/tsdsmooth_test.ms).
2025-09-16 17:27:18	SEVERE	sdsmooth::::casa	Task sdsmooth raised an exception of class RuntimeError with the following message: Desired column (FLOAT_DATA) not found in the input MS (/scratch/scastro/casa/Tests/reports/tsdsmooth_test.ms).
