2025-09-16 16:11:35	WARN	immath::::casa	The CHANS parameter tests will cause errors to occur, do not be alarmed
2025-09-16 16:11:35	SEVERE	regionmanager::frombcs	Exception Reported: Invalid channel specification in -5 of spec -5 at File: /source/casa6/casatools/src/code/imageanalysis/IO/ParameterParser.cc, line: 173
2025-09-16 16:11:35	SEVERE	immath::::casa	Unable to process expression IM0
2025-09-16 16:11:35	SEVERE	immath::::casa	Exception caught was: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	immath::::casa	Task immath raised an exception of class Exception with the following message: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	regionmanager::frombcs	Exception Reported: Invalid channel specification in -2 of spec -2 at File: /source/casa6/casatools/src/code/imageanalysis/IO/ParameterParser.cc, line: 173
2025-09-16 16:11:35	SEVERE	immath::::casa	Unable to process expression IM0
2025-09-16 16:11:35	SEVERE	immath::::casa	Exception caught was: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	immath::::casa	Task immath raised an exception of class Exception with the following message: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	regionmanager::frombcs	Exception Reported: Invalid channel specification in -18 of spec -18 at File: /source/casa6/casatools/src/code/imageanalysis/IO/ParameterParser.cc, line: 173
2025-09-16 16:11:35	SEVERE	immath::::casa	Unable to process expression IM0
2025-09-16 16:11:35	SEVERE	immath::::casa	Exception caught was: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	immath::::casa	Task immath raised an exception of class Exception with the following message: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	regionmanager::frombcs	Exception Reported: Exception: Zero-based max channel 47 must be less than the total number of channels (46) in the channel specification 47.
2025-09-16 16:11:35	SEVERE	regionmanager::frombcs+	... thrown by static std::vector<unsigned int> casa::ParameterParser::spectralRangesFromChans(casacore::uInt&, const casacore::String&, casacore::uInt) at File: /source/casa6/casatools/src/code/imageanalysis/IO/ParameterParser.cc, line: 183
2025-09-16 16:11:35	SEVERE	immath::::casa	Unable to process expression IM0
2025-09-16 16:11:35	SEVERE	immath::::casa	Exception caught was: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	immath::::casa	Task immath raised an exception of class Exception with the following message: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	regionmanager::frombcs	Exception Reported: Exception: Zero-based max channel 46 must be less than the total number of channels (46) in the channel specification 46.
2025-09-16 16:11:35	SEVERE	regionmanager::frombcs+	... thrown by static std::vector<unsigned int> casa::ParameterParser::spectralRangesFromChans(casacore::uInt&, const casacore::String&, casacore::uInt) at File: /source/casa6/casatools/src/code/imageanalysis/IO/ParameterParser.cc, line: 183
2025-09-16 16:11:35	SEVERE	immath::::casa	Unable to process expression IM0
2025-09-16 16:11:35	SEVERE	immath::::casa	Exception caught was: Unable to apply region to file: ngc5921.clean.image
2025-09-16 16:11:35	SEVERE	immath::::casa	Task immath raised an exception of class Exception with the following message: Unable to apply region to file: ngc5921.clean.image
