"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 16 14:56:53 UTC 2025","Tue Sep 16 14:56:53 UTC 2025","8","casatools","test_tool_image","ia_setbrightnessunit_test","","","test_history","verify history writing"
"passed","Tue Sep 16 16:27:26 UTC 2025","Tue Sep 16 16:27:26 UTC 2025","80","casatasks","test_task_listobs","test_listobs","","","test_verboseMMS","Listobs test: Check that a verbose file is larger than a non-verbose one for a MMS"
"passed","Tue Sep 16 14:56:35 UTC 2025","Tue Sep 16 14:56:35 UTC 2025","1","casatools","test_tool_coordsys","coordsys_test","","","test_createStokesAxes","Test that coordsys with stokes axes can be created properly"
"passed","Tue Sep 16 14:57:06 UTC 2025","Tue Sep 16 14:57:06 UTC 2025","256","casatools","test_tool_image_regrid","ia_regrid_test","","","test_overlap","Test for notification if no overlap between input and output images"
"passed","Tue Sep 16 14:58:46 UTC 2025","Tue Sep 16 14:58:46 UTC 2025","5","casatools","test_tool_regionmanager","rg_frombcs_test","","","test_continguous_stokes","Test setting a contiguous stokes"
"passed","Tue Sep 16 15:20:00 UTC 2025","Tue Sep 16 15:20:09 UTC 2025","8524","casatasks","test_task_cvel","cvel_test","","","test9","Cvel 9: I/O vis set, input vis with two spws, one field selected, 2 spws selected, 
           passall = False, regridding 2"
"passed","Tue Sep 16 16:01:29 UTC 2025","Tue Sep 16 16:01:30 UTC 2025","897","casatasks","test_task_imbaseline","TestImbaselineExecution","","","test_imbaseline_execution_list_poly_boxcar_boxcar","TestImbaselineExecution method No.069 [maskmode=list, blfunc=poly, dirkernel=boxcar, spkernel=boxcar]"
"passed","Tue Sep 16 18:43:08 UTC 2025","Tue Sep 16 18:43:08 UTC 2025","595","casatasks","test_task_tclean","test_ephemeris","","","test_onefield_mfs_eph_internaltb_outside"," [ephemeris] test_onefield_mfs_eph_internaltb_outside: single field (standard gridder), mfs mode with explicitly specifying internal ephem table moved to outside"
"passed","Tue Sep 16 15:43:25 UTC 2025","Tue Sep 16 15:43:26 UTC 2025","274","casatasks","test_task_flagcmd","test_manual","","","test_compatibility",""
"passed","Tue Sep 16 14:57:15 UTC 2025","Tue Sep 16 14:57:15 UTC 2025","59","casatools","test_tool_image_transpose","ia_transpose_test","","","test_straight_copy","No actual transposing"
"passed","Tue Sep 16 17:50:31 UTC 2025","Tue Sep 16 17:50:43 UTC 2025","12348","casatasks","test_task_tclean","test_stokes","","","test_stokes_awp2_mfs_V"," [stokes] test_stokes_awp2_mfs_V : mfs with stokes V"
"passed","Tue Sep 16 14:54:57 UTC 2025","Tue Sep 16 14:54:57 UTC 2025","343","casatools","test_tool_agentflagger","test_MS_datacols","","","test_model_no_model_col","AgentFlagger:"" raise an error when there isn't a MODEL or virtual MODEL column"
"passed","Tue Sep 16 17:02:32 UTC 2025","Tue Sep 16 17:02:34 UTC 2025","1615","casatasks","test_task_sdbaseline","sdbaseline_clippingTest","","","test011","clipping runs multiple times (positive spikes only, threshold=10sigma)"
"passed","Tue Sep 16 16:11:20 UTC 2025","Tue Sep 16 16:11:20 UTC 2025","333","casatasks","test_task_imfit","imfit_test","","","test_multibeam",""
"passed","Tue Sep 16 15:43:31 UTC 2025","Tue Sep 16 15:43:32 UTC 2025","538","casatasks","test_task_flagcmd","test_unapply","","","test_uquack","flagcmd: unapply quack agent"
"passed","Tue Sep 16 15:43:23 UTC 2025","Tue Sep 16 15:43:24 UTC 2025","940","casatasks","test_task_fixvis","fixvis_test1","","","test9","Test9: Apply negative phase shift along RA in field 0 (using offset syntax, offset is a time), exercise datacolumn parameter."
"passed","Tue Sep 16 15:20:36 UTC 2025","Tue Sep 16 15:20:37 UTC 2025","173","casatasks","test_task_cvel2","cvel2_test","","","test33","cvel2 33: SMA input MS, 1 spw, scratch columns, mode channel, no trafo, Hanning smoothing"
"passed","Tue Sep 16 14:56:35 UTC 2025","Tue Sep 16 14:56:35 UTC 2025","1","casatools","test_tool_coordsys","coordsys_test","","","test_restFreq","Test that the rest frequency can be set"
"passed","Tue Sep 16 14:58:41 UTC 2025","Tue Sep 16 14:58:41 UTC 2025","48","casatools","test_tool_msmetadata","msmetadata_test","","","test_fieldsforscan","Test fieldsforscan() and fieldsforscans()"
"passed","Tue Sep 16 17:02:01 UTC 2025","Tue Sep 16 17:02:01 UTC 2025","208","casatasks","test_task_sdbaseline","sdbaseline_autoTest","","","testAutoChebMaskFreq","Chebyshev polynomial fitting using 500~7691 channels (no edge mask)"
"passed","Tue Sep 16 15:09:05 UTC 2025","Tue Sep 16 15:09:07 UTC 2025","1655","casatasks","test_task_accor","accor_test","","","test_corrdepflags"," Test that adding corrdepflags=True finds more solutions "
"passed","Tue Sep 16 16:02:12 UTC 2025","Tue Sep 16 16:02:13 UTC 2025","1043","casatasks","test_task_imbaseline","TestImbaselineExecution","","","test_imbaseline_execution_list_poly_none_gaussian","TestImbaselineExecution method No.062 [maskmode=list, blfunc=poly, dirkernel=none, spkernel=gaussian]"
